Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
4,19-10-2012,2097266.85,0,64.46,3.61,131.1499677,3.879
4,28-09-2012,2027620.23,0,71.74,3.666,131.043,4.077
40,13-04-2012,857811.17,0,40.65,4.025,137.868,4.125
40,19-10-2012,918170.5,0,46.33,4.0,138.8336129,4.145
40,21-09-2012,899768.4,0,54.12,4.056,138.6534,4.156
40,27-01-2012,770157.29,0,22.91,3.568,136.9598387,4.261
4,27-04-2012,2064065.66,0,76.47,3.81,131.1266667,4.308
40,18-11-2011,905399.99,0,41.85,3.571,136.4666667,4.42
40,23-09-2011,876583.98,0,54.09,3.758,136.367,4.584
4,27-01-2012,1928720.51,0,40.31,3.29,130.3144516,4.607
40,01-04-2011,841889.08,0,28.6,3.638,134.0682581,4.781
9,19-10-2012,542009.46,0,68.01,3.594,227.214288,4.954
40,21-01-2011,764014.75,0,14.64,3.232,133.0285161,5.114
8,26-10-2012,891671.44,0,64.74,3.506,227.0369359,5.124
4,30-12-2011,2007105.86,1,36.89,3.119,130.0710323,5.143
44,19-10-2012,323766.77,0,52.06,3.781,131.1499677,5.217
9,27-07-2012,495951.0,0,86.41,3.407,225.6970779,5.277
40,31-12-2010,811318.3,1,19.29,3.177,132.8150323,5.287
40,24-09-2010,844373.31,0,55.63,2.718,132.7619333,5.326
6,26-10-2012,1431426.34,0,72.34,3.506,225.0686254,5.329
8,27-07-2012,838227.52,0,81.71,3.407,225.5029014,5.401
44,27-07-2012,319855.26,0,80.42,3.537,130.7195806,5.407
5,19-10-2012,313358.15,0,69.17,3.594,224.0192873,5.422
40,30-04-2010,816838.31,0,46.5,2.935,132.0644333,5.435
17,12-10-2012,919878.34,0,44.82,3.797,131.1083333,5.527
9,20-04-2012,542819.03,0,68.04,3.877,225.3117488,5.539
5,14-09-2012,299800.67,0,76.65,3.717,223.1734167,5.603
44,13-04-2012,311390.22,0,51.7,3.833,131.108,5.621
4,30-09-2011,1929486.63,0,72.15,3.371,129.6060667,5.644
9,13-01-2012,474964.6,0,42.44,3.261,223.6168049,5.667
6,28-09-2012,1369131.46,0,77.82,3.666,224.6029706,5.668
8,20-04-2012,872288.46,0,63.59,3.877,225.1179914,5.679
13,27-07-2012,1914430.53,0,80.42,3.537,130.7195806,5.765
44,23-03-2012,296947.06,0,47.83,3.671,130.8966452,5.774
5,27-04-2012,324839.74,0,68.96,3.814,222.2053519,5.801
8,27-01-2012,778178.53,0,45.52,3.29,223.6133539,5.825
16,05-10-2012,471281.68,0,50.46,3.779,198.8221322,5.847
40,26-02-2010,863917.41,0,33.32,2.753,131.686,5.892
17,17-08-2012,844928.17,0,70.98,3.545,130.7909677,5.936
5,20-01-2012,287523.98,0,54.65,3.268,220.5694104,5.943
4,29-04-2011,1878167.44,0,64.22,3.781,128.9998667,5.946
6,20-04-2012,1456073.24,0,68.64,3.877,223.17092,5.964
13,20-04-2012,1955689.12,0,50.24,3.845,131.1173333,5.965
3,26-10-2012,405432.7,0,74.66,3.506,226.9873637,6.034
9,14-10-2011,529515.66,0,67.27,3.274,220.9836849,6.054
16,28-09-2012,469607.73,0,51.4,3.789,198.5903276,6.061
44,30-12-2011,263917.85,1,31.53,3.119,130.0710323,6.078
13,27-01-2012,1733983.09,0,34.32,3.058,130.3144516,6.104
8,30-12-2011,858572.22,1,36.33,3.129,223.0576765,6.123
6,27-01-2012,1315610.66,0,53.95,3.29,221.6769199,6.132
16,27-01-2012,453979.19,0,28.17,3.038,196.8262786,6.162
16,27-04-2012,398445.15,0,59.69,3.927,197.664546,6.169
30,12-10-2012,434593.26,0,61.53,3.601,223.0154263,6.17
41,26-10-2012,1316542.59,0,41.8,3.686,199.2195317,6.195
36,26-10-2012,272489.41,0,74.39,3.494,222.1136566,6.228
16,18-11-2011,480353.64,0,31.73,3.479,195.7184713,6.232
17,13-04-2012,877055.32,0,46.94,3.833,131.108,6.235
8,28-01-2011,782256.66,0,39.26,3.01,215.5528862,6.262
8,30-04-2010,778672.64,0,61.01,2.78,213.7176024,6.29
8,20-05-2011,836049.89,0,65.54,3.907,219.1746922,6.297
8,26-03-2010,772539.12,0,46.51,2.732,214.3703567,6.299
5,14-10-2011,286117.72,0,72.36,3.274,217.9237458,6.3
8,24-09-2010,773725.08,0,72.21,2.624,214.9547795,6.315
3,27-07-2012,389427.9,0,84.94,3.407,225.4537579,6.334
16,30-09-2011,450075.31,0,57.61,3.538,194.8779718,6.338
16,22-04-2011,368600.0,0,40.74,3.636,192.5234638,6.339
9,20-05-2011,518266.9,0,70.49,3.907,219.3622809,6.38
9,16-04-2010,485764.32,0,66.09,2.808,214.0001817,6.384
13,14-10-2011,1929659.07,0,51.74,3.567,129.7706452,6.392
17,27-01-2012,769522.33,0,29.99,3.058,130.3144516,6.403
9,29-07-2011,471449.98,0,91.1,3.682,219.0768548,6.404
9,26-02-2010,473773.27,0,43.83,2.561,214.8780453,6.415
9,21-01-2011,454021.69,0,44.72,3.016,215.3554013,6.416
8,23-09-2011,806444.29,0,68.72,3.467,219.788581,6.425
41,21-09-2012,1276609.36,0,59.81,3.765,198.358523,6.432
8,31-12-2010,773586.49,1,41.47,2.943,214.7447295,6.433
9,24-09-2010,452905.22,0,77.15,2.624,215.1378313,6.442
5,23-04-2010,288839.73,0,65.13,2.795,210.9891204,6.465
5,13-05-2011,290930.01,0,77.38,3.899,216.5343611,6.489
5,30-07-2010,268929.03,0,82.46,2.64,211.9270006,6.496
4,28-01-2011,1814240.85,0,40.6,3.022,127.5800323,6.51
5,29-07-2011,275142.17,0,89.42,3.682,216.0464364,6.529
41,20-04-2012,1220815.33,0,43.57,3.936,197.7227385,6.547
17,26-02-2010,749549.55,0,15.64,2.667,126.5522857,6.548
6,14-10-2011,1386520.99,0,71.24,3.274,218.9109844,6.551
44,29-07-2011,279677.0,0,77.62,3.574,129.1677097,6.56
30,13-07-2012,417640.34,0,82.51,3.256,221.5616784,6.565
5,26-02-2010,270281.63,0,46.7,2.561,211.8771468,6.566
1,26-10-2012,1493659.74,0,69.16,3.506,223.4442513,6.573
41,27-01-2012,1079398.81,0,33.15,3.038,196.8262786,6.589
16,28-01-2011,448391.99,0,20.8,3.008,191.667891,6.614
17,30-12-2011,777207.3,1,26.73,3.119,130.0710323,6.617
36,28-09-2012,270677.98,0,79.49,3.66,221.6556,6.623
5,14-01-2011,260636.71,0,37.74,2.983,212.008514,6.634
17,16-04-2010,757738.76,0,45.22,2.915,126.5621,6.635
3,27-04-2012,394616.11,0,73.39,3.814,225.1243526,6.664
17,13-08-2010,759995.18,0,65.17,2.837,126.064,6.697
17,19-08-2011,797523.04,0,67.59,3.578,129.2405806,6.745
41,21-10-2011,1214944.29,0,45.62,3.548,195.1789994,6.759
5,29-10-2010,278031.81,0,70.58,2.716,212.464799,6.768
17,01-04-2011,795859.23,0,39.38,3.487,128.7199355,6.774
3,27-01-2012,349518.1,0,58.06,3.29,223.5645845,6.833
16,23-04-2010,370230.94,0,44.9,2.776,189.6190057,6.842
6,20-05-2011,1382783.83,0,72.01,3.907,217.2896095,6.855
6,21-01-2011,1261253.18,0,46.2,3.016,213.3399647,6.858
17,28-01-2011,736335.69,0,22.16,2.96,127.5800323,6.866
16,24-09-2010,511330.32,0,58.19,2.793,190.5713264,6.868
13,30-09-2011,1835662.69,0,68.28,3.623,129.6060667,6.877
17,31-12-2010,635862.55,1,20.79,2.868,127.0876774,6.885
30,29-06-2012,423192.4,0,88.05,3.286,221.4813343,6.891
33,26-10-2012,253731.13,0,73.7,4.301,131.1930968,6.895
41,30-09-2011,1160619.61,0,61.77,3.538,194.8779718,6.901
44,22-04-2011,280357.3,0,47.55,3.655,128.9553,6.906
1,28-09-2012,1437059.26,0,76.08,3.666,222.9816579,6.908
6,30-09-2011,1307551.92,0,82.51,3.355,218.2579435,6.925
41,29-04-2011,1178841.05,0,39.81,3.663,192.6243322,6.934
42,26-10-2012,514756.08,0,70.5,4.301,131.1930968,6.943
25,27-01-2012,589554.29,0,32.24,3.567,212.9286312,6.961
6,24-09-2010,1275591.84,0,76.49,2.624,213.1152886,6.973
16,08-10-2010,442894.2,0,54.29,2.745,190.7763218,6.986
36,29-06-2012,291530.43,0,86.68,3.273,220.5278796,6.989
6,01-10-2010,1328468.89,0,70.69,2.603,213.1907129,7.007
16,26-02-2010,443242.17,0,18.12,2.586,189.6018023,7.039
30,16-03-2012,413617.45,0,63.39,3.734,220.8498468,7.057
25,14-10-2011,646915.47,0,58.95,3.541,210.4027602,7.082
6,30-04-2010,1498080.16,0,68.91,2.78,211.8942725,7.092
4,31-12-2010,1794868.74,1,38.09,2.955,127.0876774,7.127
26,26-10-2012,958619.8,0,46.95,3.917,138.7281613,7.138
25,27-04-2012,655157.32,0,44.2,4.004,214.4223063,7.139
1,27-04-2012,1468928.37,0,67.23,3.814,221.6179368,7.143
33,31-08-2012,237129.81,0,94.55,3.886,130.8853548,7.147
42,31-08-2012,504760.57,0,86.97,3.886,130.8853548,7.17
13,20-05-2011,1860923.55,0,52.12,3.802,129.0756774,7.193
3,14-10-2011,368282.57,0,73.75,3.274,220.7486167,7.197
44,28-01-2011,276011.4,0,31.64,2.96,127.5800323,7.224
41,28-01-2011,1026439.93,0,32.23,3.008,191.667891,7.241
36,27-01-2012,301444.94,0,62.73,3.313,218.7687195,7.244
6,26-02-2010,1432953.21,0,47.1,2.561,212.845337,7.259
25,23-09-2011,620885.93,0,60.28,3.711,209.4986126,7.274
25,14-09-2012,657241.63,0,60.9,3.948,215.3583757,7.28
25,01-04-2011,618377.79,0,28.5,3.638,207.8823043,7.287
25,19-10-2012,685531.85,0,51.93,3.969,216.1464699,7.293
41,24-09-2010,1110941.78,0,60.11,2.793,190.5713264,7.335
3,23-04-2010,339976.65,0,67.87,2.795,213.7221852,7.343
3,13-08-2010,339597.38,0,86.74,2.692,214.9730444,7.346
1,27-01-2012,1319325.59,0,54.26,3.29,220.0788523,7.348
41,16-04-2010,1043388.79,0,46.79,2.765,189.6628845,7.363
3,26-03-2010,359949.27,0,57.06,2.732,214.3241011,7.368
4,30-07-2010,1796637.61,0,80.7,2.65,126.1069032,7.372
42,29-06-2012,507403.77,0,91.36,3.875,130.7562667,7.382
33,29-06-2012,244338.31,0,98.15,3.875,130.7562667,7.396
26,21-09-2012,961084.08,0,52.68,4.056,138.6534,7.405
30,30-12-2011,376777.45,1,45.16,3.129,219.1773063,7.441
26,27-01-2012,820059.89,0,24.16,3.568,136.9598387,7.467
13,28-01-2011,1633663.12,0,31.64,2.96,127.5800323,7.47
25,15-10-2010,616094.72,0,54.09,2.868,205.0137637,7.484
26,13-04-2012,889670.29,0,36.9,4.025,137.868,7.489
22,27-01-2012,786459.23,0,35.68,3.568,140.9124021,7.503
41,31-12-2010,1001790.16,1,25.19,2.829,191.2557002,7.508
25,24-09-2010,607819.33,0,65.06,2.713,204.8182126,7.527
41,26-02-2010,991941.73,0,21.84,2.586,189.6018023,7.541
22,19-10-2012,978027.95,0,55.28,4.0,142.8633629,7.543
42,27-01-2012,538978.67,0,53.59,3.675,130.3144516,7.545
3,21-01-2011,350876.7,0,50.74,3.016,215.1268275,7.551
7,26-10-2012,495543.28,0,42.53,3.686,199.2195317,7.557
3,15-10-2010,345584.39,0,69.71,2.72,215.1293114,7.564
3,29-07-2011,345381.29,0,88.07,3.682,218.8440545,7.567
3,20-05-2011,364603.13,0,75.79,3.907,219.127216,7.574
26,18-11-2011,946091.79,0,37.78,3.571,136.4666667,7.598
33,27-01-2012,236920.49,0,56.33,3.675,130.3144516,7.603
44,31-12-2010,241937.11,1,26.79,2.868,127.0876774,7.61
15,01-04-2011,542556.05,0,30.34,3.811,134.0682581,7.658
22,27-04-2012,922539.94,0,51.42,4.023,141.9596595,7.671
1,20-05-2011,1428218.27,0,67.63,3.907,215.7339202,7.682
22,14-10-2011,944337.32,0,62.63,3.583,140.4784194,7.706
36,30-12-2011,287425.22,1,48.26,3.132,218.2302364,7.716
27,01-04-2011,1628868.28,0,37.27,3.811,137.9558929,7.725
1,28-01-2011,1316899.31,0,43.83,3.01,212.1970577,7.742
22,14-09-2012,918049.28,0,66.42,3.988,142.5938833,7.753
26,23-09-2011,923644.6,0,50.72,3.758,136.367,7.767
15,14-01-2011,479424.2,0,19.53,3.367,132.9510645,7.771
1,24-09-2010,1351791.03,0,80.94,2.624,211.5972246,7.787
13,31-12-2010,1675292.0,1,26.79,2.868,127.0876774,7.795
44,30-07-2010,275020.96,0,78.94,2.797,126.1069032,7.804
15,30-09-2011,521297.31,0,64.87,3.858,136.4195,7.806
1,23-04-2010,1391256.12,0,64.84,2.795,210.4391228,7.808
26,01-04-2011,849231.61,0,22.99,3.638,134.0682581,7.818
27,28-01-2011,1421111.55,0,23.64,3.402,136.9706544,7.827
1,22-10-2010,1345454.0,0,69.86,2.725,211.8612937,7.838
27,02-09-2011,1511717.53,0,71.44,3.879,140.196985,7.85
30,02-09-2011,369722.32,0,91.94,3.533,215.4508632,7.852
25,23-04-2010,694531.72,0,46.12,2.902,203.6905586,7.856
15,14-10-2011,537300.94,0,61.3,3.744,136.5150968,7.866
7,28-09-2012,525545.76,0,50.64,3.789,198.5903276,7.872
42,30-12-2011,454412.28,1,48.92,3.428,130.0710323,7.874
4,23-04-2010,1802677.9,0,56.87,2.805,126.4713333,7.896
27,04-11-2011,1621109.3,0,44.46,3.738,140.4279758,7.906
26,21-01-2011,809833.21,0,12.98,3.232,133.0285161,7.907
30,24-06-2011,422715.74,0,85.72,3.594,214.7441108,7.931
15,13-01-2012,454183.42,0,36.26,3.666,136.753,7.943
13,24-09-2010,1705655.09,0,68.22,2.872,126.1900333,7.951
1,29-07-2011,1352219.79,0,86.83,3.682,215.4834482,7.962
44,09-04-2010,257361.3,0,38.97,2.877,126.6019032,7.972
27,24-09-2010,1597002.71,0,67.08,2.837,136.6317821,7.982
15,12-10-2012,551799.63,0,49.12,4.186,138.9117,7.992
27,05-10-2012,1591816.88,0,64.5,4.151,142.8516833,8.0
27,27-01-2012,1263534.86,0,36.96,3.737,140.9124021,8.009
33,30-12-2011,215359.21,1,51.6,3.428,130.0710323,8.01
27,31-12-2010,1440963.0,1,29.59,3.336,136.665265,8.021
22,23-09-2011,899834.75,0,62.36,3.758,140.32725,8.023
30,18-02-2011,417070.51,0,59.87,3.045,212.9033115,8.028
27,30-04-2010,1805885.04,0,53.55,3.042,135.9170833,8.058
15,31-12-2010,543754.17,1,26.54,3.336,132.8150323,8.067
18,27-01-2012,825584.22,0,30.44,3.568,136.9598387,8.075
7,20-04-2012,457340.06,0,39.3,3.936,197.7227385,8.09
30,09-07-2010,436293.4,0,81.67,2.642,210.7657317,8.099
1,26-03-2010,1404429.92,0,51.45,2.732,211.0180424,8.106
13,30-04-2010,1785823.37,0,48.33,2.941,126.3805667,8.107
24,24-09-2010,1169413.27,0,64.3,2.837,132.7619333,8.117
44,19-02-2010,267956.3,0,35.7,2.654,126.5262857,8.119
26,31-12-2010,877268.29,1,18.73,3.177,132.8150323,8.149
15,27-04-2012,527402.62,0,41.57,4.163,137.9781333,8.15
30,31-12-2010,397631.02,1,47.19,2.943,211.064774,8.163
36,30-09-2011,314910.37,0,81.52,3.328,215.4532259,8.177
15,30-04-2010,570791.11,0,49.09,3.042,132.0644333,8.185
25,12-02-2010,583364.02,1,19.64,2.773,204.3857472,8.187
15,14-09-2012,527509.76,0,65.44,4.088,138.5673,8.193
30,11-06-2010,445530.16,0,83.51,2.668,211.1120018,8.2
24,30-04-2010,1259877.19,0,51.48,3.042,132.0644333,8.211
24,01-04-2011,1163803.3,0,35.73,3.811,134.0682581,8.212
27,05-03-2010,1313729.72,0,38.07,2.919,135.5732602,8.237
27,14-09-2012,1519604.5,0,68.72,4.088,142.5938833,8.239
18,19-10-2012,1048706.75,0,51.96,4.0,138.8336129,8.243
22,29-04-2011,926133.8,0,57.2,3.988,138.3303119,8.252
27,27-04-2012,1565498.84,0,52.33,4.163,141.9596595,8.253
7,27-01-2012,541037.98,0,26.9,3.038,196.8262786,8.256
42,29-07-2011,479256.8,0,86.75,3.694,129.1677097,8.257
24,31-12-2010,1208600.05,1,25.9,3.336,132.8150323,8.275
22,26-02-2010,899761.48,0,35.98,2.753,135.5195191,8.283
36,29-04-2011,340708.78,0,76.1,3.837,214.3580974,8.3
18,27-04-2012,961186.23,0,50.43,4.023,137.9781333,8.304
13,26-02-2010,1817850.32,0,29.98,2.667,126.5522857,8.316
30,26-03-2010,442457.35,0,51.66,2.732,210.6766095,8.324
24,26-02-2010,1158722.74,0,33.98,2.91,131.686,8.326
22,23-04-2010,969594.47,0,51.04,2.895,135.8721667,8.348
15,26-02-2010,564883.2,0,29.87,2.91,131.686,8.35
24,02-09-2011,1196105.44,0,68.14,3.879,136.2440968,8.358
36,27-08-2010,412050.73,0,84.62,2.562,210.3292106,8.36
36,28-01-2011,372174.12,0,48.74,2.995,210.9682412,8.395
45,27-01-2012,624081.64,0,37.93,3.567,189.5168505,8.424
22,24-09-2010,902779.25,0,65.14,2.718,136.6317821,8.433
33,29-07-2011,224806.96,0,95.28,3.694,129.1677097,8.442
26,24-09-2010,868636.3,0,52.47,2.718,132.7619333,8.445
24,21-10-2011,1283563.43,0,56.6,3.757,136.5017742,8.454
22,28-01-2011,799369.15,0,20.61,3.243,136.9706544,8.458
36,23-04-2010,434116.8,0,68.03,2.762,209.2199574,8.464
18,14-10-2011,953533.95,0,60.26,3.583,136.5150968,8.471
36,31-12-2010,359310.65,1,52.88,2.949,210.182398,8.476
26,26-02-2010,855385.01,0,27.32,2.753,131.686,8.488
42,29-04-2011,496010.17,0,73.38,4.151,128.9998667,8.494
35,01-04-2011,762620.94,0,37.27,3.638,137.9558929,8.512
7,14-10-2011,501959.19,0,32.65,3.491,195.0261012,8.513
45,01-04-2011,712425.76,0,37.27,3.638,185.1790167,8.521
45,14-10-2011,720946.99,0,63.82,3.541,187.6917481,8.523
18,27-07-2012,924506.26,0,72.97,3.701,138.2033871,8.535
45,28-01-2011,617207.58,0,24.05,3.237,183.1800955,8.549
36,26-03-2010,404438.51,0,55.76,2.711,209.7870932,8.554
45,27-04-2012,711571.88,0,53.2,4.004,190.8680064,8.567
22,31-12-2010,774262.28,1,28.49,3.177,136.665265,8.572
7,06-05-2011,407012.47,0,26.54,3.735,192.7252006,8.595
7,30-09-2011,488880.26,0,47.34,3.538,194.8779718,8.622
4,26-03-2010,1762539.3,0,39.91,2.752,126.6050645,8.623
45,30-09-2011,698986.34,0,70.66,3.645,187.2566641,8.625
24,27-01-2012,1057290.41,0,31.92,3.737,136.9598387,8.659
35,19-10-2012,829284.67,0,56.53,3.969,142.8633629,8.665
45,19-10-2012,718125.53,0,56.47,3.969,192.3308542,8.667
45,14-09-2012,702238.27,0,67.87,3.948,191.69985,8.684
33,01-04-2011,232769.09,0,71.41,3.772,128.7199355,8.687
24,19-10-2012,1255414.84,0,52.59,4.153,138.8336129,8.693
45,31-12-2010,679156.2,1,29.67,3.179,182.5714479,8.724
45,24-09-2010,678228.58,0,68.59,2.713,182.6696737,8.743
42,28-01-2011,499081.79,0,53.03,3.231,127.5800323,8.744
35,04-11-2011,653468.75,0,44.46,3.551,140.4279758,8.745
35,31-12-2010,576332.05,1,29.59,3.179,136.665265,8.763
7,28-01-2011,513372.17,0,10.11,3.008,191.667891,8.818
43,26-10-2012,587603.55,0,69.17,3.506,214.7415392,8.839
35,24-09-2010,758069.78,0,67.08,2.713,136.6317821,8.861
35,27-04-2012,721212.45,0,52.33,4.004,141.9596595,8.876
18,02-09-2011,540922.94,0,68.23,3.784,136.2440968,8.89
45,30-04-2010,737265.57,0,53.15,2.921,181.6620359,8.899
33,28-01-2011,231155.9,0,56.62,3.231,127.5800323,8.951
24,14-09-2012,1242909.53,0,64.28,4.088,138.5673,8.953
7,14-05-2010,372673.61,0,41.41,2.788,189.4904116,8.963
18,01-04-2011,938083.17,0,35.06,3.638,134.0682581,8.975
24,27-04-2012,1194334.65,0,49.26,4.163,137.9781333,8.983
29,27-01-2012,395987.24,0,35.68,3.568,136.9598387,8.988
45,12-02-2010,656988.64,1,27.73,2.773,181.982317,8.992
42,31-12-2010,428953.6,1,49.67,3.148,127.0876774,9.003
7,12-03-2010,480452.1,0,27.25,2.684,189.7372075,9.014
7,24-09-2010,488008.83,0,47.55,2.793,190.5713264,9.017
35,21-05-2010,1078182.18,0,63.31,2.958,136.0796521,9.051
18,14-01-2011,777175.28,0,22.69,3.215,132.9510645,9.131
7,01-10-2010,448998.73,0,49.99,2.759,190.6738241,9.137
29,27-04-2012,497250.22,0,51.42,4.023,137.9781333,9.14
29,12-10-2012,513737.0,0,54.18,4.029,138.9117,9.151
42,27-08-2010,465993.51,0,84.99,3.022,126.0892903,9.199
18,26-02-2010,1068157.45,0,35.42,2.753,131.686,9.202
35,26-02-2010,1020651.74,0,36.0,2.754,135.5195191,9.262
33,03-12-2010,209986.25,0,52.82,3.041,126.7313333,9.265
18,30-04-2010,1060446.16,0,51.12,2.935,132.0644333,9.269
43,27-07-2012,572447.52,0,82.01,3.407,213.3303963,9.285
18,31-12-2010,887907.01,1,26.1,3.177,132.8150323,9.331
18,24-09-2010,950862.92,0,64.82,2.718,132.7619333,9.342
29,14-10-2011,475776.45,0,62.63,3.583,136.5150968,9.357
29,17-08-2012,416881.66,0,74.92,3.84,138.1857097,9.419
33,27-08-2010,224031.19,0,94.0,3.022,126.0892903,9.495
43,26-02-2010,618702.79,0,48.77,2.561,203.2798724,9.521
42,30-04-2010,477615.87,0,69.76,3.105,126.3805667,9.524
43,29-06-2012,593128.13,0,89.85,3.286,213.2460619,9.575
43,25-06-2010,625196.14,0,88.48,2.653,203.2673857,9.593
43,27-01-2012,587685.38,0,52.1,3.29,211.5879908,9.653
42,26-03-2010,478021.68,0,60.05,2.98,126.6050645,9.765
43,30-07-2010,622112.23,0,79.79,2.64,203.2961774,9.816
33,25-06-2010,259419.91,0,93.66,3.084,126.1266,9.849
29,30-09-2011,446516.26,0,69.78,3.684,136.4195,9.863
29,01-04-2011,475615.26,0,36.04,3.638,134.0682581,9.966
29,26-02-2010,488417.61,0,35.98,2.753,131.686,10.064
33,26-03-2010,262893.76,0,64.09,2.98,126.6050645,10.115
43,30-12-2011,505405.85,1,41.83,3.129,211.0740553,10.148
29,30-04-2010,501013.47,0,50.96,2.935,132.0644333,10.16
38,26-10-2012,417290.38,0,65.95,4.301,131.1930968,10.199
43,31-12-2010,534740.3,1,48.61,2.943,203.4176843,10.21
29,28-01-2011,410426.97,0,20.61,3.243,133.1059677,10.256
43,28-01-2011,562558.27,0,44.98,3.01,204.1789677,10.398
29,17-09-2010,463752.89,0,62.49,2.716,132.7670667,10.409
29,31-12-2010,465992.02,1,28.49,3.177,132.8150323,10.524
43,27-05-2011,578209.63,0,80.89,3.786,207.3119816,10.581
43,29-07-2011,533917.52,0,83.43,3.682,207.313553,10.641
38,24-08-2012,397428.22,0,85.32,4.055,130.8381613,10.926
38,20-04-2012,401615.8,0,66.73,4.222,131.1173333,11.627
38,20-01-2012,405215.91,0,46.2,3.66,130.2792258,12.187
38,30-12-2011,342667.35,1,44.64,3.428,130.0710323,12.89
38,29-07-2011,355131.33,0,93.29,3.805,129.1677097,13.503
38,29-04-2011,344225.99,0,68.27,4.151,128.9998667,13.736
38,19-02-2010,327237.92,0,54.83,2.915,126.5262857,13.975
38,21-01-2011,341098.08,0,53.53,3.223,127.4404839,14.021
38,25-06-2010,322046.76,0,87.27,3.084,126.1266,14.099
38,27-08-2010,322868.56,0,93.19,3.129,126.0892903,14.18
38,31-12-2010,303908.81,1,45.64,3.148,127.0876774,14.313
